carat,clarity,color,cut,xdimension,ydimension,zdimension,depth,table,price
0.5,IF,D,IDEAL,5.1,5.15,3.2,61.5,48,3000
0.7,VVS2,E,PREMIUM,5.7,5.85,3.52,62.0,59,4500
1.2,IF,D,IDEAL,5.9,6.82,4.2,61.7,58,10000
0.9,I1,J,FAIR,6.0,5.85,3.7,61.7,48,2400
0.5,IF,D,IDEAL,5.1,5.85,3.2,61.5,57,3100
0.55,SI2,H,GOOD,5.3,5.29,3.715,62.0,48,1800
0.7,I1,J,FAIR,5.9,5.79,3.57,61.6,48,2100
1.3,SI1,G,PREMIUM,6.9,5.85,4.3,63.0,60,10500
1.4,IF,D,GOOD,7.1,7.12,3.715,62.4,59,11000
0.2,SI1,H,VERY GOOD,3.9,3.89,2.41,62.1,48,500
0.35,IF,G,IDEAL,4.5,4.52,3.715,61.9,56,1300
0.55,I1,J,PREMIUM,5.4,5.42,3.35,62.1,48,2500
0.65,SI2,E,VERY GOOD,5.6,5.85,3.47,62.3,58,2900
1.5,VVS2,F,GOOD,7.2,7.18,3.715,62.7,59,10800
0.9,SI2,H,FAIR,6.1,6.12,3.78,62.4,48,2600
0.45,SI2,I,GOOD,4.9,4.91,3.715,62.1,56,1700
0.95,IF,D,IDEAL,6.3,5.85,3.9,62.6,58,9400
1.05,SI2,J,GOOD,6.6,6.58,3.715,62.7,48,8500
0.45,SI2,H,IDEAL,4.8,4.82,3.01,62.1,56,1500
0.85,VVS1,I,GOOD,5.8,5.82,3.715,62.2,55,4800
0.95,VVS2,D,GOOD,6.3,6.31,3.91,62.4,48,7300
0.35,IF,G,VERY GOOD,4.6,5.85,2.85,62.0,57,1400
0.55,VVS2,J,IDEAL,5.4,5.85,3.35,62.3,56,2600
0.75,SI2,G,GOOD,5.7,5.71,3.715,62.5,57,3800
0.65,SI1,E,VERY GOOD,5.6,5.58,3.48,62.6,48,3300
1.4,VVS2,H,GOOD,7.1,5.85,4.39,62.7,59,11200
0.3,I1,I,FAIR,4.4,4.41,3.715,62.1,55,600
1.3,SI2,F,GOOD,6.9,5.85,4.26,62.3,57,9900
